id	name	icon	animation	desc	features	note	etype	wtype	atype	price	params
1	短剑	193	7	轻而短的剑。		轻短的剑。	0	1	0	100	4;5;2;0;0;0;0;0
2	长剑	193	7	轻而短的剑。		轻短的剑。	0	1	0	500	6;10;4;0;0;0;0;0
3	丙子树林剑	193	7	轻而短的剑。		轻短的剑。	0	1	0	1000	30;0;0;0;0;0;0;0
200	大剑	193	7	轻而短的剑。		轻短的剑。	0	2	0	1000	30;0;0;0;0;0;0;0
300	法杖	152	7	轻而短的剑。		轻短的剑。	0	3	0	600	30;0;0;0;0;0;0;0
401	木盾	160	7	轻而短的剑。		轻短的剑。	1	0	1	400	30;0;0;0;0;0;0;0
501	头盔	164	7	轻而短的剑。		轻短的剑。	2	0	1	200	30;0;0;0;0;0;0;0
502	法师帽	165	7	轻大大的法师帽子紫色。		轻短的剑。	2	0	1	600	30;0;0;0;0;0;0;0
600	铠甲	170	7	轻而短的剑。		轻短的剑。	3	0	1	1000	30;0;0;0;0;0;0;0
701	护腿	172	7	轻而短的剑。		轻短的剑。	4	0	1	600	30;0;0;0;0;0;0;0
901	项链	180	7	轻而短的剑。		轻短的剑。	5	0	1	800	30;0;0;0;0;0;0;0
